QID,Description
43,Linguistic Context' column contains the posts to be analyzed;
44,headline' column contains the news headlines to be analyzed;
45,Tweet' column contains the posts to be analyzed; 'Target' column contains the target topic each post is referring to; 
46,post' column contains the posts to be analyzed; 
47,post' column contains the posts to be analyzed; 
48,post' column contains the posts to be analyzed; 
49,post' column contains the posts to be analyzed; 
50,post' column contains the posts to be analyzed; 
51,post' column contains the posts to be analyzed; 
52,"hypothesis' column contains the figurative texts (hypothesis) to be analyzed; 'type' column contains the figurative type, the value can only be one of 'idiom', 'simile', 'metaphor', or 'sarcasm'; the 'term' column contains the figurative terms identified from the 'hypothesis' column."
53,"hypothesis' column contains the figurative texts (hypothesis) to be analyzed; 'type' column contains the figurative type, the value can only be one of 'idiom', 'simile', 'metaphor', or 'sarcasm'; the 'term' column contains the figurative terms identified from the 'hypothesis' column."
54,headline' column contains the news headlines to be analyzed;
55,original_sentence' column contains the sentences to be analyzed;
56,original_sentence' column contains expressions with negative attitudes; 
57,sentence' column contains the posts to be analyzed;
58,"word' column contains the word to analyze semantics; 'word_type' column tells the type of the word, the values are either 'N': noun or 'V': verb; 'example_1' column contains the first example sentence; 'example_2' column the second example sentence; 'index' column contains the indexes of the word in the sentences; "
59,original_sentence' column contains comments in online discussions;
60,seeker_post' column contains the original sad posts; 'response_post' column contains the response posts to the posts in the 'seeker_post' column; 
61,seeker_post' column contains the original sad posts; 'response_post' column contains the response posts to the posts in the 'seeker_post' column; 
62,post' column contains the posts to be analyzed; 
63,original_sentence' column contains the posts to be analyzed;
64,original_sentence' column contains the conversations to be analyzed; 
65,story_orig' column contains the original stories that are recalled;
66,sent' column contains the sentences to be analyzed; 'storyIx' column contains the story indexes of the sentence; 'sentIx' contains the sentence indexes of the sentence; 
67,sent' column contains the sentences to be analyzed; 'storyIx' column contains the story indexes of the sentence; 'sentIx' contains the sentence indexes of the sentence; 
68,original_sentence' column contains the sentences to be analyzed;
69,ID' column contains the documents to be analyzed;
70,sentence' column contains the sentences to be analyzed;
71,Character' column contains the name of the characters; 'Quotes' column contains the quotes of the characters in the 'Character' column; 
72,seeker' column contains the sentences that need emotional support;
73,seeker' column contains the sentences that need emotional support;
74,sentence_no' column contains sentence to be analyzed; 'attackable' column contains whether the sentence in the 'sentence_no' column is attackable (True) or not (False);
75,post' column contains the conversations to be analyzed;
76,id' column contains the videos to be analyzed;
77,request' column contains the requests to be analyzed;
78,word' column contains the words to be analyzed; 'year' column contains the year in which the word in the 'word' column to be analyzed;
79,video' column contains the videos to be analyzed;
80,sentence' column contains the conversations to be analyzed;
81,sents' column contains the requests to be analyzed; 
82,sents' column contains the requests to be analyzed;
83,case' column contains the cases to be analyzed;
84,case' column contains the cases to be analyzed;
85,case' column contains the cases to be analyzed;
86,case' column contains the cases to be analyzed;
87,case' column contains the cases to be analyzed;
88,case' column contains the cases to be analyzed;
89,case' column contains the cases to be analyzed;
90,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
91,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
92,case' column contains the cases to be analyzed;
93,case' column contains the cases to be analyzed;
94,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
95,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
96,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
97,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
98,case' column contains the cases to be analyzed;
99,case' column contains the cases to be analyzed;
100,case' column contains the cases to be analyzed;
101,case' column contains the cases to be analyzed;
102,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
103,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
104,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
105,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
106,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
107,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
108,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
109,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
110,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
111,post_text' column contains the text to be analyzed; 
112,post_text' column contains the text to be analyzed; 
113,English' column contains English adjectives; 
114,tweets' column contains tweets to be analyzed; 
115,tweets' column contains tweets to be analyzed; 
116,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
117,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
118,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
119,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
120,doc_id' column contains the pdf document id; 'pdf_orig' column contains the pdf document;
