original_sentence,dialect
"he liked it, didn’t he, even though you said he wouldn’t",None of the Above
Because educated people get good money.,None of the Above
there is some flower part,None of the Above
"My parents and siblings, they really enjoy playing board games.",Left Dislocation
the person I like the most is from mechanical department,Article Omission
I think she is a teacher.,None of the Above
"We are like we are in touch, but not before when we was in school and all.","General Extender ""and all"""
He is doing Engineering in Delhi.,None of the Above
I’m working very nearby to my house only,Focus Only
this is menial work,None of the Above
we can only see blue sky,Article Omission
he is having a television,Stative Progressive
she is getting nightmares,Habitual Progressive
we can only see the blue sky,None of the Above
in our old age we can go and enjoy it,None of the Above
I think Nina must know her sister,None of the Above
"I was very scared to, no?","Invariant Tag ""isn’t it, no, na"""
My old life I want to spend in India.,None of the Above
they tease the new children when they join,None of the Above
he didn’t give me,Direct Object Pronoun Drop
we want to know how we can make your favorite dish,None of the Above
Tirupati temple I stayed one or two days,Article Omission
So if you’re not good at communication you may get filtered at the first level itself,Focus Itself
"yeah, so my parent’s house I go very often",Prepositional Phrase Fronting With Reduction
he didn’t give it to me,None of the Above
They have pressure from their in-laws.,None of the Above
tomorrow this cake you have to try,Object Fronting
many years I did not travel,Prepositional Phrase Fronting With Reduction
all the music is very good,None of the Above
"the children are playing outside, aren’t they?",None of the Above
they speak Portuguese in Brazil,None of the Above
I love to go shopping with your mother,None of the Above
you can say anything but tenth I’m leaving,Prepositional Phrase Fronting With Reduction
and the production function is giving you the relationship between input and output,Article Omission
and all the company people are my clients,None of the Above
this is a menial work,Mass Nouns As Count Nouns
She was brought up there and her college was there too,None of the Above
We don’t feel that we should go to any other country.,None of the Above
"yeah, so my parent’s house I go very often",Topicalized Non-argument Constituent
We don’t feel that we should go any other country.,Preposition Omission
So that time they said okay go and work for a few months.,Preposition Omission
So marketing keeps its communication with the different embassies and all.,"General Extender ""and all"""
you can say anything but on the tenth I’m leaving,None of the Above
we will know how much the structure is getting deflected,None of the Above
for two years I stayed alone,None of the Above
She was brought up there and her college was there only,Focus Only
open a shop wherever there is a foot traffic,Mass Nouns As Count Nouns
you can say anything but tenth I’m leaving,Article Omission
"the children are playing outside, na?","Invariant Tag ""isn’t it, no, na"""
open a shop wherever there is foot traffic,None of the Above
we have two tailors who can make them for us,None of the Above
minimum one month you have to wait,Object Fronting
"A person living in Calcutta, who didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",None of the Above
at the Tirupati temple I stayed one or two days,None of the Above
"We are like we are in touch, but not before when we was in school and all.",Lack Of Agreement
she doesn’t like,Direct Object Pronoun Drop
he has a television,None of the Above
what you are doing?,Lack Of Inversion In Wh-questions
"first of all, on the right side we can see a plate",None of the Above
they are speaking Portuguese in Brazil,Stative Progressive
the dog is facing towards the camera,None of the Above
I went one year there.,Preposition Omission
what are you doing?,None of the Above
corruption is there obviously,"Non-initial Existential ""is / are there"""
you can say anything but tenth I’m leaving,Preposition Omission
where you will get anything?,Lack Of Inversion In Wh-questions
"he liked it, no, even though you said he wouldn’t","Invariant Tag ""isn’t it, no, na"""
because in India individuality is not there,"Non-initial Existential ""is / are there"""
"My parents and siblings and all, they really enjoy playing board games.","General Extender ""and all"""
Tirupati temple I stayed one or two days,Preposition Omission
They have a pressure from their in-laws.,Extraneous Article
he do a lot of things,Lack Of Agreement
I can see some green colour leaves the left side,Preposition Omission
where will you get anything?,None of the Above
"actually, I have not been to this part",None of the Above
My daughter she is attending the University of Delhi.,Resumptive Subject Pronoun
